event_id,vehicle_id,zone_id,entry_time,exit_time,paid_amount
E0000112,V00994,Z003,2024-08-09 05:06:58,2024-08-09 10:13:58,153.5
E0000113,V00931,Z003,2024-03-03 06:25:12,2024-03-03 07:54:12,44.5
E0000114,V00603,Z002,2024-10-22 16:34:54,2024-10-22 21:30:54,197.33
E0000115,V00898,Z005,2024-10-25 13:59:34,2024-10-25 19:50:34,146.25
E0000116,V00104,Z002,2024-11-16 11:59:41,2024-11-16 16:01:41,161.33
E0000117,V00248,Z003,2023-07-26 11:35:10,2023-07-26 16:10:10,137.5
E0000118,V00513,Z004,2023-09-19 04:34:52,2023-09-19 05:44:52,81.67
E0000119,V00442,Z001,2023-10-04 10:53:10,2023-10-04 15:02:10,207.5
E0000120,V00629,Z003,2023-08-10 11:48:32,2023-08-10 13:34:32,53.0
E0000121,V00959,Z002,2023-01-12 14:47:39,2023-01-12 17:33:39,110.67
E0000122,V00489,Z001,2024-07-18 02:40:50,2024-07-18 08:35:50,295.83
E0000123,V00906,Z005,2024-03-30 00:23:05,2024-03-30 04:09:05,94.17
E0000124,V00006,Z001,2024-10-11 15:45:43,2024-10-11 19:49:43,203.33
E0000125,V00514,Z002,2023-08-04 11:57:43,2023-08-04 16:36:43,186.0
E0000126,V00031,Z004,2024-03-25 20:08:20,2024-03-25 21:51:20,120.17
E0000127,V00002,Z005,2023-12-11 13:22:06,2023-12-11 16:25:06,76.25
E0000128,V00927,Z001,2024-11-16 06:36:02,2024-11-16 11:14:02,231.67
E0000129,V00856,Z004,2023-09-13 19:36:25,2023-09-14 01:20:25,401.33
E0000130,V00391,Z004,2023-11-14 11:08:36,2023-11-14 16:12:36,354.67
E0000131,V00858,Z003,2023-08-13 14:23:54,2023-08-13 15:05:54,21.0
E0000132,V00949,Z002,2023-07-06 05:49:59,2023-07-06 08:46:59,118.0
E0000133,V00271,Z003,2023-12-13 07:15:59,2023-12-13 08:37:59,41.0
E0000134,V00301,Z005,2024-07-25 06:33:02,2024-07-25 07:57:02,35.0
E0000135,V00522,Z001,2023-03-09 09:40:14,2023-03-09 10:20:14,33.33
E0000136,V00343,Z005,2024-05-05 07:37:26,2024-05-05 08:16:26,16.25
E0000137,V00669,Z003,2023-05-04 00:36:30,2023-05-04 01:24:30,24.0
E0000138,V00574,Z003,2023-11-09 12:35:24,2023-11-09 14:09:24,47.0
E0000139,V00560,Z003,2024-07-04 16:14:13,2024-07-04 20:05:13,115.5
E0000140,V00367,Z002,2023-09-20 09:14:38,2023-09-20 13:34:38,173.33
E0000141,V00305,Z002,2024-02-01 04:28:07,2024-02-01 09:54:07,217.33
E0000142,V00320,Z003,2024-05-15 14:49:19,2024-05-15 16:08:19,39.5
E0000143,V00198,Z002,2023-12-17 00:50:16,2023-12-17 02:27:16,64.67
E0000144,V00504,Z003,2023-06-10 09:26:15,2023-06-10 15:09:15,171.5
E0000145,V00081,Z003,2024-07-07 04:59:26,2024-07-07 08:41:26,111.0
E0000146,V00946,Z004,2024-05-13 23:15:57,2024-05-14 01:54:57,185.5
E0000147,V00007,Z002,2024-02-22 16:39:02,2024-02-22 20:31:02,154.67
E0000148,V00685,Z001,2024-08-10 11:10:17,2024-08-10 16:25:17,262.5
E0000149,V00915,Z003,2024-06-22 07:09:03,2024-06-22 12:35:03,163.0
E0000150,V00052,Z002,2024-10-18 08:03:12,2024-10-18 08:24:12,14.0
E0000151,V00442,Z003,2024-02-27 14:05:03,2024-02-27 17:15:03,95.0
E0000152,V00470,Z004,2024-01-08 13:04:42,2024-01-08 13:51:42,54.83
E0000153,V00373,Z003,2024-04-01 18:05:53,2024-04-01 23:32:53,163.5
E0000154,V00738,Z001,2023-08-02 05:37:13,2023-08-02 09:44:13,205.83
E0000155,V00697,Z005,2023-08-31 17:41:08,2023-08-31 21:41:08,100.0
E0000156,V00724,Z005,2023-08-15 04:03:52,2023-08-15 05:20:52,32.08
E0000157,V00949,Z005,2024-06-18 08:45:01,2024-06-18 10:00:01,31.25
E0000158,V00591,Z004,2023-09-03 01:12:16,2023-09-03 06:38:16,380.33
E0000159,V00180,Z001,2024-01-25 09:02:22,2024-01-25 10:51:22,90.83
E0000160,V00565,Z003,2024-07-04 08:14:00,2024-07-04 12:44:00,135.0
E0000161,V00087,Z001,2024-03-01 01:43:42,2024-03-01 05:01:42,165.0
E0000162,V00015,Z005,2023-12-06 20:44:42,2023-12-06 23:07:42,59.58
E0000163,V00827,Z002,2023-05-20 03:01:51,2023-05-20 06:49:51,152.0
E0000164,V00987,Z004,2023-10-10 19:51:42,2023-10-11 00:05:42,296.33
E0000165,V00073,Z002,2023-01-07 20:41:37,2023-01-08 01:39:37,198.67
E0000166,V00653,Z004,2024-06-09 22:04:04,2024-06-09 22:39:04,40.83
E0000167,V00735,Z003,2023-01-02 06:13:46,2023-01-02 06:39:46,13.0
E0000168,V00228,Z001,2023-11-10 08:23:41,2023-11-10 13:26:41,252.5
E0000169,V00492,Z001,2024-09-15 03:32:15,2024-09-15 05:17:15,87.5
E0000170,V00715,Z002,2023-03-14 06:39:54,2023-03-14 11:19:54,186.67
E0000171,V00905,Z004,2024-02-28 13:23:06,2024-02-28 18:46:06,376.83
E0000172,V00068,Z001,2024-01-23 10:51:30,2024-01-23 11:28:30,30.83
E0000173,V00136,Z002,2024-03-28 01:32:58,2024-03-28 05:10:58,145.33
E0000174,V00317,Z004,2023-01-24 10:57:14,2023-01-24 12:50:14,131.83
E0000175,V00372,Z004,2023-03-23 10:41:30,2023-03-23 11:26:30,52.5
E0000176,V00238,Z005,2024-06-01 12:37:48,2024-06-01 18:33:48,148.33
E0000177,V00926,Z001,2024-03-03 16:14:24,2024-03-03 21:38:24,270.0
E0000178,V00171,Z005,2024-09-07 00:59:36,2024-09-07 06:45:36,144.17
E0000179,V00294,Z004,2023-08-16 16:58:01,2023-08-16 19:42:01,191.33
E0000180,V00275,Z002,2023-04-08 23:13:35,2023-04-09 00:56:35,68.67
E0000181,V00181,Z004,2023-04-29 00:09:21,2023-04-29 02:30:21,164.5
E0000182,V00813,Z004,2024-01-23 15:53:16,2024-01-23 18:24:16,176.17
E0000183,V00682,Z005,2024-07-17 03:06:58,2024-07-17 05:25:58,57.92
E0000184,V00326,Z004,2024-06-14 23:37:24,2024-06-15 02:35:24,207.67
E0000185,V00037,Z003,2024-05-29 11:56:29,2024-05-29 13:45:29,54.5
E0000186,V00103,Z003,2024-10-04 09:21:02,2024-10-04 11:53:02,76.0
E0000187,V00704,Z001,2023-08-10 18:15:08,2023-08-10 21:28:08,160.83
E0000188,V00873,Z004,2023-06-29 23:04:56,2023-06-30 00:45:56,117.83
E0000189,V00928,Z003,2023-09-16 22:19:46,2023-09-17 00:07:46,54.0
E0000190,V00687,Z002,2023-07-04 10:37:22,2023-07-04 16:08:22,220.67
E0000191,V00883,Z005,2024-05-13 20:52:09,2024-05-13 22:16:09,35.0
E0000192,V00064,Z004,2024-02-14 22:41:44,2024-02-15 03:16:44,320.83
E0000193,V00576,Z001,2024-10-29 20:12:04,2024-10-30 00:16:04,203.33
E0000194,V00815,Z003,2023-08-20 13:42:10,2023-08-20 14:36:10,27.0
E0000195,V00236,Z004,2023-06-24 10:05:17,2023-06-24 14:16:17,292.83
E0000196,V00014,Z002,2023-07-26 19:36:23,2023-07-26 20:38:23,41.33
E0000197,V00173,Z002,2024-04-06 02:31:30,2024-04-06 05:28:30,118.0
E0000198,V00476,Z002,2023-01-05 06:58:27,2023-01-05 10:28:27,140.0
E0000199,V00047,Z004,2024-07-13 19:17:22,2024-07-13 20:34:22,89.83
